0,Light
1,Circle
2,Triangle
3,Fireball
4,Unknown
5,Other
6,Sphere
7,Disk
8,Oval
9,Formation
10,Changing
11,Cigar
12,Flash
13,Rectangle
14,Cylinder
15,Diamond
16,Chevron
